id,status,request_type,description,created,closed,response_hours,sla_breach,latitude,longitude,location_detail
2030466,Archived,Trash/Debris (Private Property),Stuff is consistently left on curb in yard on porch in driveway.  Cars also parked in street for over 72 hrs.,2015-11-15 17:16:00,2015-12-31 17:30:00,1104.2333333333333,1,29.6724630012686,-82.3547619,2280 NW 21ST AVE
2046104,Archived,Street Sign,,2015-11-24 08:59:00,2015-11-24 09:10:00,0.18333333333333332,0,29.6584453582764,-82.3420944213867,1505 NW 7TH PL
2079915,Archived,Streetlight/Lamp,#82169R,2015-11-29 21:08:00,2015-11-30 08:42:00,11.566666666666666,0,29.6785067,-82.3851697,2720 NW 39TH DR
2096086,Archived,Trash/Debris (Private Property),Bins are in the street all the time.,2015-12-09 10:44:00,,,0,29.6665552,-82.3443902,1653 NW 17TH ST
2125825,Archived,Building (Abandoned/Damaged),"Waste water dumping onto ground, huge ditch in yard at the residence, been a nuisance to look at for weeks almost 2 months. The smell coming from residence.",2015-12-30 12:33:00,2016-04-12 13:27:00,2496.9,1,29.689718,-82.345941,4001 NW 19TH ST
2151417,Archived,General Code Issue,Vehicle(s) parked in middle of the front yard.  This was reported back in October and is still continuing.,2016-01-12 11:27:00,,,0,29.6598862138453,-82.3850874934858,4010 NW 8TH AVE
2146484,Archived,Other,Rooster on back side of single-family dwelling at 3234 NW 19th Street in wooded area to rear of old shed. Or in NE corner of multi-family housing at 309 NW 19th Street.,2016-01-10 12:07:00,2016-01-26 17:23:00,389.26666666666665,1,29.65465,-82.347442,323 NW 19TH ST
2206869,Archived,Trash/Debris (Public Property),Trash piled all over sidewalk in front of residence.,2016-02-03 13:50:00,2016-02-09 18:07:00,148.28333333333333,1,29.653366,-82.300231,1911 NE 3RD AVE
2215228,Archived,General Code Issue,,2016-02-06 10:53:00,,,0,29.6533739003104,-82.3764396951261,207 NW 35TH TERR
2216546,Archived,Parking in Yard (Other Than Driveway),Several cars (5+) and tow trucks parked in the yard and on the street.,2016-02-07 10:01:00,2016-03-21 11:38:00,1033.6166666666666,1,29.653564,-82.375395,207 NW 35TH TERR
2221217,Archived,Other,This area is a residential area and there are hardly any cross walks on this road. This road is not pedestrian friendly regardless of the many bus stops that occupy this road. I fear for my safety when trying to cross this road. Cars will not let pedestrians cross. There are children that live in this area and have to cross the street from Spyglass to Lakewood Villas in the morning. This road needs to be pedestrian friendly considering there is a school right up the road and children that live along this road.,2016-02-09 09:11:00,2016-03-17 18:17:00,897.1,1,29.6465124683148,-82.4008208566223,62ND BLVD
2237913,Archived,Other,,2016-02-16 19:42:00,2016-02-17 07:24:00,11.7,0,29.6670257295674,-82.3139381111519,912 NE 16TH AVE
2244192,Archived,General Code Issue,"Chapt 15 ,SEC 15-3 (d) (4) a,b,c",2016-02-18 19:57:00,2016-02-19 07:45:00,11.8,0,29.68657,-82.370047,3622 NW 31ST TERR
2261617,Archived,Trash/Debris (Private Property),"junk on lawn and in trailers on west side of home, washing machines, televisiions",2016-02-25 08:07:00,2016-06-21 13:00:00,2812.883333333333,1,29.6881561180314,-82.3223845273357,2913 NW 45TH AVE
2275942,Archived,Trash/Debris (Private Property),There is a large quantity of garbage in the yard and in the street. There are bottles and broken glass in the street. The garbage has been out there for at least two weeks now. There is always a problem with garbage at this residence.,2016-03-01 17:51:00,2016-05-24 08:51:00,2007.0,1,29.666999,-82.37414,1521 NW 35TH TERR
2278785,Archived,Other,Yard waste and brush pile on shoulder and curb. Repeated offense.,2016-03-02 16:00:00,2016-03-02 16:04:00,0.06666666666666667,0,29.6284018736333,-82.3412004299462,2490 SW 14TH DR
2281711,Archived,Vehicle (Abandoned/Non-Operational),MAROON PEOPLE 2013 SCOOTER/VIN RFBBAAA263B103527/ NO TAG ATTACHED,2016-03-03 15:13:00,2016-03-03 16:52:00,1.65,0,29.6494226,-82.3398744,300 SW 13TH ST
2306062,Archived,Road Repair,There are multiple potholes along the 1200 block of NW 4th Ave.  The entire block is in disrepair generally.,2016-03-12 11:09:00,2016-03-14 07:14:00,44.083333333333336,0,29.6545335,-82.337104,1200 NW 4TH AVE
2306506,Archived,Other,had yet another garage sale today.......,2016-03-12 16:58:00,2016-03-14 12:03:00,43.083333333333336,0,29.680482,-82.329855,555 NW 31ST AVE
2326278,Archived,Trash/Debris (Private Property),Household items piled up around the exterior of the house.,2016-03-19 12:31:00,2016-06-21 12:11:00,2255.6666666666665,1,29.6710049280363,-82.3791615277629,2004 NW 37 BLVD
2358935,Archived,Sidewalk Repair,Several months ago a car was involved in a car accident and was pushed onto the sidewalk. A small tree and a bicycle rack were destroyed from the accident. Neither have been replaced. The construction barricades marking the missing tree are lying on their sides and there is no longer a good area to secure bicycles to.,2016-03-31 15:46:00,2016-04-13 12:12:00,308.43333333333334,1,29.6518633454374,-82.3257677589124,21 W UNIVERSITY AVE
2384377,Archived,Building (Abandoned/Damaged),Trash and glass everywhere,2016-04-09 08:46:00,2016-06-21 11:44:00,1754.9666666666667,1,29.6527976989746,-82.3302459716797,111 NW 6TH ST
2414750,Archived,Street Sign,Crooked and sign is not legible.,2016-04-19 14:49:00,2016-04-19 14:59:00,0.16666666666666666,0,29.6565878,-82.3323174,715 NW 6TH AVE
2420698,Archived,Vehicle (Abandoned/Non-Operational),resubmitting photos on veh's with expired tags,2016-04-21 10:51:00,,,0,29.6138887,-82.3661592,2900 SW 40TH AVE
2423405,Archived,Street Sign,Back illuminated sign is damaged,2016-04-22 08:36:00,2016-04-22 11:51:00,3.25,0,29.6485783,-82.3392751,NW 13 ST AND STADIUM RD
2443554,Archived,General Code Issue,,2016-04-28 18:26:00,2016-04-29 08:29:00,14.05,0,29.6535640012448,-82.375395,207 NW 35TH TERR
2536430,Archived,Parking in Yard (Other Than Driveway),"There are often 2 or 3 cars (plus  scooters) parked on what used to be grass in the front yard, now rutted dirt.  To the west of the yard trash, there is another area where a car often parks. (Yard trash is routinely picked up behind the house on 7th Avenue, an alley.)",2016-05-27 18:44:00,2016-06-21 10:43:00,591.9833333333333,1,29.657849,-82.354451,2227 NW 7TH LN
2562599,Archived,General Code Issue,"Many, many cars on yard, sidewalk and driveway.  Destroyed lawn so that it erodes onto sidewalk when it rains.  Concerned about toxic auto fluids leaking onto soil and into environment.  Business being conducted in this quiet, residential area.  Property is not being maintained and has been an eyesore for the neighborhood for some time.  Please help.",2016-06-06 09:13:00,2016-06-21 10:35:00,361.3666666666667,1,29.6903775312787,-82.3512380157179,4021 NW 21ST ST
2647385,Archived,Request to City Auditor's Office,,2016-06-30 09:22:00,2016-06-30 09:24:00,0.03333333333333333,0,29.6526691,-82.3231027,200 E UNIVERSITY AVE
2650017,Archived,Grass (Overgrown),House is occupied and is a rental. The grass/weeds are very high. I have seen rats (not mice) in the backyard and going onto the adjacent properties.,2016-06-30 23:18:00,2016-07-05 13:03:00,109.75,1,29.67179,-82.340449,1407 NW 21ST AVE
2658398,Archived,Streetlight/Lamp,General location is on NW 37th street between NW 53rd Ln and NW 53rd Rd... There also appears to be down limbs...,2016-07-04 22:07:00,2016-08-16 08:55:00,1018.8,1,29.6950969696045,-82.3790435791016,NW 44TH PL
2664906,Archived,Trash/Debris (Private Property),"This house and the adjacent (921 I believe) are constatly throwing parties that leave the yard littered with rotting food, glass, cups, and other debris.  I work at Infinity Hall and their trash ends up coming onto our property, blows down the street, and has caused vermin to be seen frequently.  Please help us make them keep their trash contained!",2016-07-06 12:54:00,2016-07-06 15:44:00,2.8333333333333335,0,29.6513505,-82.3346988,928 SW 1ST AVE
2672712,Archived,Grass (Overgrown),,2016-07-08 11:42:00,2016-07-11 09:42:00,70.0,0,29.694504,-82.363712,4340 NW 27TH TERR
2901953,Archived,General Code Issue,Renter has several commercial tow trucks and cars parked on street (ASAP Towing) - business activity and towed cars parked in yard,2016-09-14 11:05:00,2016-09-14 13:32:00,2.45,0,29.653564,-82.375395,207 NW 35TH TERR
2688763,Archived,Tree/Limbs (Public Property),"Crape Myrtle one trunk snapped off and dead lying directly next to tree and in the middle median, Just needs to be p/u and removed.",2016-07-13 10:35:00,2016-07-13 14:11:00,3.6,0,29.6505341750871,-82.3224014830505,MEDIAN  BETW SE2ND AV & SE 3RDST
2686211,Archived,Other,"I am writing you in behalf of a resident, Ms.  Milligan, staying at Apartment #40 of the Archer Court Apartments located at 3001 SW Archer Rd. Gainesville, FL 32608. Ms. Milligan has been residing at this location for over a year and in the past 2 weeks has reported to Archer Court management a possum problem inside her apartment. 

I witnessed this for myself as a concerned friend when asked to check if the creature was still in the apartment. On Monday, June 27, 2016 at approximately 9:45PM, I entered the apartment of Ms. Milligan along with another friend, at the resident's request. The possum was relatively small and was found scurrying through a hole dug out under the floor board of the occupant's vanity. As we shone a light through the hole, we saw the creature retract further back into the hole. We at once went outside the apartment to see if there was evidence of a hole on the outside of the building where the creature may have entered. At the left side of the building, we found a square opening with a worn grating where a small dog could enter. As we shone our lights through that hole, there was the possum huddled in a corner.

Ms Milligan due to fear of the obvious accessibility of her apartment to the creature and the possibility of it carrying disease found other accommodations that evening. She has since made the issue known to the Archer Court management (Jessica - front desk personnel - 352-260-0843) several times after repeated sightings despite efforts of management to seal the hole in her apartment. 

Since the problem has yet to be resolved, Ms. Milligan is seeking to ascertain what services your offices can provide to assist in remedying the situation. Your help in this matter or pointing Ms. Milligan to the appropriate government agency would be greatly appreciated.

Thank you and we hope you can assist Ms. Milligan in addressing this dilemma.",2016-07-12 16:48:00,2016-07-13 16:42:00,23.9,0,29.628325,-82.367092,3001 SW ARCHER RD  ORIDA
2692834,Archived,Right-of-Way Maintenance,"Bamboo and Palmeadow over Girling sidewalk, obstructing access.",2016-07-14 08:40:00,2016-07-14 12:21:00,3.683333333333333,0,29.6556758880615,-82.3212661743164,405 NE 5TH AVE
2714207,Archived,Vehicle (Abandoned/Non-Operational),"Lt Blue Mercedes  VIN WDBTJ65J93F038373

White Chevy Malibu VIN 1G1ND52F15M125106",2016-07-20 13:43:00,2016-07-20 15:49:00,2.1,0,29.6789354,-82.3147776,2900 NE 9TH ST
2719924,Archived,Trash/Debris (Private Property),,2016-07-22 01:32:00,2016-07-26 15:05:00,109.55,1,29.6533813476562,-82.3290557861328,428 NW 2 AVE
2747568,Archived,Parking in Yard (Other Than Driveway),,2016-07-30 08:12:00,2016-08-01 12:12:00,52.0,0,29.654184,-82.351755,2105 NW 3RD PL
2782513,Archived,Vehicle (Abandoned/Non-Operational),"This is a reoccurring problem with this man. Usually he just leaves the trailer there by itself, as we reported. He has left his vehicle hooked up to the trailer tonight, but has backed it up under a street light in front of a house. He doesn't live there. He lives in wood creek villages the condos. He is parking on main drag of wood creek subdivision. Got truck tag this time. Trailer tag is expired.",2016-08-09 23:39:00,2016-08-10 07:37:00,7.966666666666667,0,29.6753420291776,-82.381480892023,2430
2791903,Archived,Trash/Debris (Private Property),"Mound of garbage left by homeowner by the curb.  Not in bags, not picked up by garbage collection.",2016-08-12 08:23:00,2016-08-15 11:32:00,75.15,1,29.6647298389515,-82.3301191247925,505 NW 14TH AVE
2801998,Archived,Trash/Debris (Private Property),"TWO CARS PARKED ON LAWN       LARGE PILE OF DEBRIS ROAD SIDE             BIG GARBAGE CAN LEFT OUT
LITTER!",2016-08-15 22:41:00,2016-09-20 11:22:00,852.6833333333333,1,29.6583648,-82.2923597,716  SW   25  TH  ST
2840542,Archived,Trash/Debris (Public Property),Garbage/Lawn set to the curbside improperly is now loose on the easement/sidewalk.,2016-08-26 09:39:00,2016-08-29 07:47:00,70.13333333333334,0,29.651411,-82.337633,1212 SW 1 AVE
2845101,Archived,Sidewalk Repair,"Uneven section of curb acts as a dam, preventing rainwater from draining away. This forms a large, long puddle which serves as mosquito breeding habitat.",2016-08-27 18:57:00,2016-08-30 12:41:00,65.73333333333333,0,29.6872076012374,-82.3851580886226,3713 NW 40 ST
2858697,Archived,Vehicle (Abandoned/Non-Operational),Motorcycle with 2012 tag expiry has been here for many months.,2016-08-31 17:17:00,2016-09-07 12:23:00,163.1,1,29.6664331649558,-82.343346956796,1502 NW 16TH TERR
2885643,Archived,Road Repair,,2016-09-09 08:27:00,2016-09-09 11:51:00,3.4,0,29.6208604326416,-82.3580344238314,3301-3405 SW 24TH ST
2910636,Archived,Maintenance Ditch/Drainage/Flooding,Ditch is blocked with debris,2016-09-16 19:16:00,2016-09-20 08:12:00,84.93333333333334,1,29.654902,-82.384258,417 NW 39 RD
2916353,Archived,Parking in Yard (Other Than Driveway),"The residents of 46 SW 25th street were seen parking vehicles without a visible permit on their property on 09/17/16. They charged each vehicle to park on the property and even parked cars directly blocking any means of exit or egress through their front-facing entrance to the property. They were seen to be reckless in their arrangement of parked cars and made no efforts to maintain safety in or around their property, with almost a dozen cars parked in a haphazard fashion on their lawn.",2016-09-19 11:42:00,2016-09-19 14:12:00,2.5,0,29.651052,-82.3605187,46 SW 25TH ST
2928982,Archived,Vehicle (Abandoned/Non-Operational),"White Toyota Tercel No Tag
VIN JT2EL4658R0500524",2016-09-22 11:16:00,2016-09-22 17:46:00,6.5,0,29.631003,-82.340577,2220 SW 14TH ST
2937793,Archived,Grass (Overgrown),Vacant lot severely overgrown for many months.,2016-09-25 11:46:00,2016-09-26 08:27:00,20.683333333333334,0,29.6602591381318,-82.3406486545271,1403-1427 NW 9TH AVE
2930601,Archived,Streetlight/Lamp,Sweetwater park between SE 2nd Ave and Matheson Museum.  All lights out,2016-09-22 20:59:00,2016-10-03 14:26:00,257.45,1,29.6499710083008,-82.3176956176758,719 SE 2ND AVE
2948725,Archived,General Code Issue,Owner has installed an advertisement for his tree business at the front of property.,2016-09-28 13:33:00,2016-09-28 16:48:00,3.25,0,29.6671638146287,-82.34333622796,1608 NW 16TH TERR
2949909,Archived,Trash/Debris (Public Property),"Three or more tires, a shopping cart, and other trash illegally dumped in bushes along dirt road which runs parallel to the Waldo Greenway.",2016-09-28 22:06:00,2016-11-02 10:32:00,828.4333333333333,1,29.6578327709907,-82.3072150274594,WALDO RD GREENWAY-DEPOT AVE RAIL-TRAIL
2988585,Archived,Emergency - Other,Claw Truck Required  Also pick up at 1952 NW 4th St,2016-10-11 18:00:00,2016-11-02 10:43:00,520.7166666666667,1,29.670714,-82.32906,1948 NW 4TH ST
2991365,Archived,Emergency - Other,Claw Truck required,2016-10-12 15:04:00,2016-11-02 10:43:00,499.65,1,29.685859,-82.330103,518 NW 36TH AVE
2994018,Archived,Emergency - Other,Claw Truck required   Pile actually on NE 19th Ln,2016-10-13 10:35:00,2016-11-02 10:43:00,480.1333333333333,1,29.670081,-82.330543,1921 NW 6TH ST
2994871,Archived,Emergency - Other,Claw truck required.,2016-10-13 14:38:00,2016-11-02 10:39:00,476.01666666666665,1,29.686469,-82.36846,3620 NW 31ST ST
3007677,Archived,Sidewalk Repair,"On the south side, directly behind center, just north of the basketball court.",2016-10-18 10:24:00,2016-10-18 16:42:00,6.3,0,29.6625467,-82.371802,WSIDE PARK
3015503,Archived,Vehicle (Abandoned/Non-Operational),"Blue Saturn 4 door 
OH GBA4446  exp 5/16",2016-10-20 15:12:00,2016-10-21 09:08:00,17.933333333333334,0,29.651134,-82.3334258,839 SW 1ST AVE
3031646,Archived,Street Sign,,2016-10-30 18:01:00,2016-10-31 10:12:00,16.183333333333334,0,29.6726898492839,-82.3558125525917,2120 NW 23RD ST
3045740,Archived,Tree/Limbs (Public Property),Brush and limbs  on sidewalk on west side of road need to be cleared for safe bike use.  There is no bike lane in the road so sidewalk should be kept clear.,2016-11-07 11:30:00,2016-11-14 22:01:00,178.51666666666668,1,29.6328361952968,-82.3288576636976,2044-2098 S MAIN ST
3044596,Archived,Other,,2016-11-06 15:11:00,2016-11-09 07:52:00,64.68333333333334,0,29.6521409573267,-82.3237282356313,100-142 NE STATE RD 24
3048372,Archived,Vehicle (Abandoned/Non-Operational),"A utility trailer parked in a parking spot alongside NE 9th St. is too wide and blocking safe passage through the adjacent bike lane.

It's been like this for years and years, and can even be seen archived on Google Street View (use slider to see 2015 and 2011): https://www.google.com/maps/@29.6558762,-82.3148154,3a,75y,89.48h,79.94t/data=!3m6!1e1!3m4!1sQj8Q5u1unT1gs1_Dxk-daw!2e0!7i13312!8i6656!6m1!1e1

Trailer has Ohio tag: SVS2400",2016-11-08 13:46:00,2016-11-08 15:02:00,1.2666666666666666,0,29.6557747,-82.3148066,502 NE 9TH ST
3050478,Archived,Trash/Debris (Private Property),They don't know to us yellow bags  for excess trash and so trash doesn't get picked up and spills out of bags and down the street.,2016-11-09 16:16:00,2016-11-09 17:51:00,1.5833333333333333,0,29.653488,-82.365168,111 NW 28TH TERR
3049160,Archived,Trash/Debris (Private Property),For week grocery carts and mattress have decorated the apartment entrance.  Perhaps the dumpster needs to be moved away from the street.  Someone needs to find a solution to the numerous grocery cart that reach the apartments but never make it back to the stores they were stolen from.,2016-11-08 23:15:00,2016-11-09 11:43:00,12.466666666666667,0,29.6657710499391,-82.3374227061868,1300 NW 15 AVE
3068301,Archived,Right-of-Way Maintenance,This address has had chronic problems with debris and overgrown plants.  The sidewalk is barely passable.,2016-11-21 12:17:00,2016-12-07 08:48:00,380.51666666666665,1,29.657772,-82.340012,1306 NW 7TH RD
3081254,Archived,Streetlight/Lamp,"Light is out, comes on intermittently but is not as bright as usual.",2016-11-30 21:10:00,2016-12-07 16:49:00,163.65,1,29.6648845672607,-82.3130035400391,1018 NE 14TH AVE
3096885,Archived,Trash/Debris (Private Property),There is trash strewn all over the parking lot and in the drainage ditch out front along 16th avenue. It's been like this for over a year.,2016-12-11 16:47:00,2016-12-12 07:21:00,14.566666666666666,0,29.6669238,-82.3118605,1080 NE 16TH AVE
3130132,Archived,Streetlight/Lamp,"Multiple light poles out along E University Ave., from downtown library to the Mathewson History Museum. I count 8 (eight) poles on both sides of University Ave. Most are double-globes as seen in photo. I request someone survey them please.",2017-01-03 19:14:00,2017-01-05 07:40:00,36.43333333333333,0,29.6518385741779,-82.3212964356305,401 E UNIVERSITY AVE
3134601,Archived,Streetlight/Lamp,Approximately 641-653 E University Ave. Pole number 37174. Light flickering to off.,2017-01-05 20:28:00,2017-01-11 16:54:00,140.43333333333334,1,29.6518546889272,-82.3189745423202,641-653 NE STATE RD 24
3154374,Archived,Street Sign,,2017-01-17 21:00:00,2017-01-18 07:34:00,10.566666666666666,0,29.6609439849854,-82.3530197143555,916 NW 21ST TERR
3165882,Archived,Tree/Limbs (Public Property),There are large tree limbs that have been moved to this public land just east of the back GPD parking lot that have not been removed,2017-01-24 08:03:00,2017-01-25 07:13:00,23.166666666666668,0,29.6576952557472,-82.3300592933363,730 NW 5 ST
3172413,Archived,Street Sign,Sign is falling down.,2017-01-26 17:43:00,2017-03-23 10:59:00,1337.2666666666667,1,29.657526492528,-82.3310741699236,600-614 NW 7TH AVE
3172611,Archived,Sidewalk Repair,,2017-01-26 19:43:00,2017-01-30 08:51:00,85.13333333333334,1,29.6667232513428,-82.3240432739258,2-110 NE 16TH AVE
3192157,Archived,Streetlight/Lamp,,2017-02-06 20:22:00,2017-02-21 14:25:00,354.05,1,29.6510563371255,-82.3223481267073,65-99 SE 3RD ST
3237769,Archived,Road Repair,,2017-02-27 23:42:00,2017-03-02 11:22:00,59.666666666666664,0,29.6531542455076,-82.3193578857162,529-599 NE 2ND AVE
3242694,Archived,Streetlight/Lamp,Parking lot side,2017-03-01 18:51:00,2017-06-16 11:06:00,2560.25,1,29.6548566,-82.3431297,327 NW 16TH ST
3265017,Archived,Trash/Debris (Private Property),"Excessive trash, trailers, debris all in the driveway.  Has caused smell and rats to enter other homes yards.",2017-03-13 16:03:00,2017-03-13 16:31:00,0.4666666666666667,0,29.6972629,-82.3867665,4617 NW 41ST ST
3266418,Archived,Parking in Yard (Other Than Driveway),One scooter parked outside designated parking area.   Trash containers in front yard.,2017-03-14 12:01:00,2017-03-14 17:30:00,5.483333333333333,0,29.6810568013611,-82.3452084098524,1724 NW 7TH AVE
3272974,Archived,Right-of-Way Maintenance,Vines on fence along 31th AV. block view to north when entering 6th st.,2017-03-16 15:27:00,2017-03-30 21:21:00,341.9,1,29.6809263050072,-82.3309068713851,702 NW 31ST AVE
3275952,Archived,Trash/Debris (Private Property),Trash cans remain in the road on Friday.  Pickup is Wednesday.,2017-03-17 18:39:00,2017-03-20 11:00:00,64.35,0,29.654537701246,-82.3597847,318 NW 24TH ST
3273531,Archived,Parking in Yard (Other Than Driveway),There is truck parked in front yard.,2017-03-16 19:35:00,2017-03-20 12:58:00,89.38333333333334,1,29.6555599,-82.3525436,2132-2144 NW 4TH PL
3291051,Archived,Sidewalk Repair,Curb repair,2017-03-24 16:55:00,2017-03-27 17:12:00,72.28333333333333,1,29.6489219665527,-82.3175735473633,301 SE 7TH ST
3320235,Archived,Traffic/Pedestrian Signal,Why can this left turn signal not flash yellow like others on Waldo Rd?,2017-04-06 12:20:00,2017-05-22 10:04:00,1101.7333333333333,1,29.7023768858132,-82.2774818095018,5200 NE STATE RD 24
3313706,Archived,Traffic/Pedestrian Signal,traffic signals are completely out both direction.  No one is stoping.,2017-04-04 09:23:00,2017-04-04 09:51:00,0.4666666666666667,0,29.6519774,-82.3114215,WALDO RD AND UNIVERSITY AVE
3340399,Archived,Road Repair,,2017-04-14 15:15:00,2017-04-17 12:41:00,69.43333333333334,0,29.6704276418316,-82.3518582501808,1921-1927 NW 22ND ST
3350043,Archived,Trash/Debris (Public Property),Padlocks attached to bridge structure are vandalism and invite others to do the same. Please remove them.,2017-04-19 10:15:00,2017-04-19 10:26:00,0.18333333333333332,0,29.641062877321,-82.3393303979531,WALDO RD GREENWAY-DEPOT AVE RAIL-TRAIL
3363658,Archived,Parking in Yard (Other Than Driveway),The owner of the house made it so many csrs can park in the yard but the main issue is that i suspect that more than 3 unrelated people are living in the house.  Every morning there are 4 cars at the house.,2017-04-25 08:40:00,2017-04-26 12:34:00,27.9,0,29.6587228,-82.3516728,2105 NW 7TH PL  ORIDA 32603
3454833,Archived,Trash/Debris (Private Property),,2017-05-31 20:07:00,2017-06-01 07:58:00,11.85,0,29.652774810791,-82.3115768432617,9-99 NE 11TH ST
3457127,Archived,Sidewalk Repair,Roots from the trees along this section of University Avenue in front of The Continuum are causing damage to the sidewalks and it is has been a trip hazard.,2017-06-01 15:11:00,2017-06-08 07:06:00,159.91666666666666,1,29.6519525286934,-82.3298043973084,425 ORIDA 24
3461461,Archived,Other,,2017-06-03 10:49:00,2017-06-05 09:33:00,46.733333333333334,0,29.6540584564209,-82.341423034668,300-398 NW 14TH DR
3469570,Archived,Trash/Debris (Private Property),Time to start fining this homeowner. Trash from an eviction and I'm seeing bugs in my house now!!! Please get a handle on this property. Trash bags all around exterior and home filthy inside!!!,2017-06-06 16:21:00,2017-06-07 12:05:00,19.733333333333334,0,29.6790924,-82.3293851,510 NW 29 AVE
3566416,Archived,Grass (Overgrown),This property was recently purchased. New owner has yet to make any improvements or cut the grass.,2017-07-17 14:11:00,2017-07-17 15:19:00,1.1333333333333333,0,29.6580258,-82.3282903,310 NW 7TH AVE
